,Title,Artist,Year,Progression
84,"""Mandy""",Barry Manilow,1974,I-vi-IV-V
85,"""Marathon""",Tennis,2011,I-vi-IV-V
86,"""Marvin Gaye""",Charlie Puth and Meghan Trainor,2015,I-vi-IV-V
87,"""Me!""",Taylor Swift ft. Brendon Urie,2019,I-vi-IV-V
88,"""Messin' Around""",Pitbull,2016,I-vi-IV-V
89,"""Don't Dream It, Be It""",The Rocky Horror Picture Show,1975,I-vi-IV-V
90,"""Hangin' Out with Jim""",GG Allin,1988,I-vi-IV-V
91,"""Million Reasons""",Lady Gaga,2016,I-vi-IV-V
92,"""Monster Mash""",Bobby Pickett,1962,I-vi-IV-V
93,"""No Hay Pedo""",Banda Los Recoditos,2014,I-vi-IV-V
94,"""Nothing's Gonna Stop Us Now""",Starship,1987,I-vi-IV-V
95,"""Octopus's Garden""",The Beatles,1969,I-vi-IV-V
96,"""Oh True Love""",Everly Brothers,1960,I-vi-IV-V
97,"""Bobby Brown""",Frank Zappa,1979,I-vi-IV-V
98,"""Hang Fire""",The Rolling Stones,1981,I-vi-IV-V
99,"""Saturday Night""",The Misfits,1999,I-vi-IV-V
100,"""Oliver's Army""[32]",Elvis Costello,1979,I-vi-IV-V
101,"""Perfect""[33]",Ed Sheeran,2017,I-vi-IV-V
102,"""Please Mr. Postman""",The Marvelettes,1961,I-vi-IV-V
103,"""Pretty Little Angel Eyes""",Curtis Lee,1961,I-vi-IV-V
104,"""Red Cadillac and a Black Moustache""",Warren Smith,1957,I-vi-IV-V
105,"""Rinky Dink""","Dave ""Baby"" Cortez/ Booker T & the MGs",1962,I-vi-IV-V
106,"""Rude""",Magic!,2013,IV-V-I-vi
107,"""Runaround Sue""",Dion,1961,I-vi-IV-V
108,"""Som Sarn""",Loso,1998,I-vi-IV-V
109,"""Stand by Me""[34][35]",Ben E. King,1961,I-vi-IV-V
110,"""Telephone Line""",Electric Light Orchestra,1976,I-vi-IV-V
111,"""Tell Me Why""",The Beatles,1964,I-vi-IV-V
112,"""The Man Comes Around""",Johnny Cash,2002,I-vi-IV-V
113,"""The Thin Ice""",Pink Floyd,1979,I-vi-IV-V
114,"""This Boy""",The Beatles,1963,I-vi-IV-V
115,"""This is Me""",Keala Settle,2018,I-vi-IV-V
116,"""This Magic Moment""[36]",The Drifters,1960,I-vi-IV-V
117,"""Those Magic Changes""[37]",Sha Na Na,1978,I-vi-IV-V
118,"""(Tired Of) Toein' The Line""",Rocky Burnette,1980,I-vi-IV-V
119,"""Total Eclipse of the Heart""",Bonnie Tyler,1983,I-vi-IV-V
120,"""Twistin' the Night Away""",Sam Cooke,1962,I-vi-IV-V
121,"""Mr. Bass Man""",Johnny Cymbal,1961,I-vi-IV-V
122,"""True Blue""[38]",Madonna,1986,I-vi-IV-V
123,"""Unchained Melody""",The Righteous Brothers,1955,I-vi-IV-V
124,"""We Almost Had A Baby""",Emmy the Great,2009,I-vi-IV-V
125,"""We Are Young""",Fun ft. Janelle Monáe,2011,I-vi-IV-V
126,"""We Go Together""[39]",John Travolta and Olivia Newton-John,1972,I-vi-IV-V
127,"""Where Have All the Flowers Gone?""",Pete Seeger,1955,I-vi-IV-V
128,"""Who Put the Bomp (in the Bomp, Bomp, Bomp)""",Barry Mann,1961,I-vi-IV-V
129,"""Perfidia""","Alberto Domínguez, Glenn Miller",1939,I-vi-ii-V
130,"""Why Do Fools Fall in Love""",Frankie Lymon & The Teenagers,1956,I-vi-IV-V
131,"""You Don't Own Me""[40]",Lesley Gore,1963,I-vi-IV-V
132,"""Your Reality""[41]",Dan Salvato,2017,I-vi-IV-V
