,Song title,Artist,Year,Progression,Recorded Key
75,"""One Day""[94]",Matisyahu,2008,I-V-vi-IV,C major
76,"""One of Us""[3][95]",Joan Osborne,1995,vi-IV-I-V,F# minor
77,"""On the Floor""[96]",Jennifer Lopez feat. Pitbull,2011,vi-IV-I-V,D# minor
78,"""Otherside""[97]",Red Hot Chili Peppers,2000,vi-IV-I-V,E minor
79,"""Out of the Woods""[98]",Taylor Swift,2014,I-V-vi-IV,A minor
80,"""Peace of Mind""[99]",Boston,1976,vi-IV-I-V,C# minor
81,"""Pieces""[100]",Sum 41,2005,vi-IV-I-V,D minor
82,"""Poker Face""[101]",Lady Gaga,2008,vi-IV-I-V,G# minor
83,"""Pork and Beans""[102]",Weezer,2008,I-V-vi-IV,F# major
84,"""Prison Bound""[103]",Social Distortion,1988,I-V-vi-IV,F# major
85,"""Ready or Not""[104]",Bridgit Mendler,2012,vi-IV-I-V,B minor
86,"""Replay""[105]",Iyaz,2009,vi-IV-I-V,F# minor
87,"""Rise""[106]",McClain Sisters,2012,vi-IV-I-V,B minor
88,"""Rockstars""[107]",Malik Harris,2022,I-V-vi-IV,G major
89,"""Roly-Poly""[108]",T-ARA,2011,vi-IV-I-V,A minor
90,"""Save Tonight""[109]",Eagle Eye Cherry,1997,vi-IV-I-V,C major
91,"""Say Something""[110]",A Great Big World,2013,vi-IV-I-V,B minor
92,"""Scar""[111]",Missy Higgins,2004,I-V-vi-IV,C major
93,"""Self Esteem""[2]",The Offspring,1994,vi-IV-I-V,A minor
94,"""Since You Been Gone""[112]",Russ Ballard,1976,I-V-vi-IV,G major
95,"""Six Degrees of Separation""[113]",The Script,2012,vi-IV-I-V,C# minor
96,"""Snow (Hey Oh)""[114]",Red Hot Chili Peppers,2006,vi-IV-I-V,B major/G# minor
97,"""Soul To Squeeze""[115]",Red Hot Chili Peppers,1993,I-V-vi-IV,F major
98,"""Sparks Fly""[116]",Taylor Swift,2011,vi-IV-I-V,D minor
99,"""Stand""[117]",Rascal Flatts,2007,vi-IV-I-V,A minor
100,"""Stereo Hearts""[118]",Gym Class Heroes,2011,vi-IV-I-V,F# minor
101,"""Stronger (What Doesn't Kill You)""[119]",Kelly Clarkson,2012,vi-IV-I-V,A minor
102,"""Take On Me""[120]",Aha,1984,I-V-vi-IV,A major
103,"""Take You Down""[121]",Illenium,2018,vi-IV-I-V,B major
104,"""Tangled Up in Me""[122]",Skye Sweetnam,2004,I-V-vi-IV,C major
105,"""The Edge of Glory""[123]",Lady Gaga,2011,I-V-vi-IV,A major
106,"""The Kids Aren't Alright""[124]",The Offspring,1999,vi-IV-I-V,Bb minor
107,"""The Rock Show""[125]",Blink-182,2001,vi-IV-I-V (bridge),A major/F# minor
108,"""The Spectre""[126]",Alan Walker,2017,vi-IV-I-V,C# minor
109,"""(There's Gotta Be) More to Life""[127]",Stacie Orrico,2003,vi-IV-I-V,F minor
110,"""To Know Him Is to Love Him""[4]",The Teddy Bears,1958,I-V-vi-IV,D major
111,"""Try""[128]",P!nk,2012,IV-I-V-vi; vi-IV-I-V,D major/B minor
112,"""Tuesday's Gone""[129]",Lynyrd Skynyrd,1973,I-V-vi-IV,A major
113,"""Up""[130]",Olly Murs featuring Demi Lovato,2014,IV−I−V−vi (chorus),A major
114,"""Wannabe""[131]",Itzy,2020,IV-I-V-vi,F# minor/A major
115,"""We Found Love""[132]",Rihanna feat. Calvin Harris,2011,vi-IV-I-V,D# minor
116,"""What About Now""[133]",Lonestar,2000,I-V-vi-IV,E major
117,"""What Would I Change It To""[134]",Avicii & AlunaGeorge,2017,I-V-vi-IV,B major
118,"""What's My Age Again?""[135]",Blink-182,1999,IV-I-V-vi; I-V-vi-IV,F# major
119,"""When Can I See You Again?""[136]",Owl City,2012,I-V-vi-IV,D major
120,"""When I Come Around""[137]",Green Day,1993,I-V-vi-IV,F# major
121,"""Wherever You Will Go""[138]",The Calling,2001,I-V-vi-IV,D major
122,"""Where'd You Go""[139]",Fort Minor feat. Holly Brook and Jonah Matranga,2006,I-V-vi-IV,E major
123,"""Whistle""[140]",Flo Rida,2012,vi-IV-I-V,A minor
124,"""Who You Are""[141]",Jessie J,2011,vi-IV-I-V,F# minor
125,"""You Found Me""[142]",The Fray,2008,vi-IV-I-V,G# minor
126,"""You'll Think Of Me""[143]",Keith Urban,2004,I-V-vi-IV; vi-IV-I-V,A major/F# minor
127,"""You're Not Sorry""[144]",Taylor Swift,2008,vi-IV-I-V,D# minor
128,"""Zombie""[145]",The Cranberries,1994,vi-IV-I-V,E minor
